"export-plot data (NetLogo 6.1.1)"
"Chapter_5_Butterfly_Movement.nlogo"
"07/15/2022 08:58:40:152 -0500"

"MODEL SETTINGS"
"probability"
"0.7"

"""Corridor Width"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","2190","0","473","true","""turtles""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""turtles""","true","0","1","0","1999"

"""turtles"""
"x","y","color","pen down?"
"0","367.29186724363854","0","true"
"1","367.29186724363854","0","true"
"2","430.3346786974962","0","true"
"3","430.3346786974962","0","true"
"4","442.76242086943745","0","true"
"5","442.7624208694372","0","true"
"6","447.3695315806901","0","true"
"7","447.36953158069036","0","true"
"8","443.2112266379202","0","true"
"9","443.2112266379208","0","true"
"10","439.84891068613075","0","true"
"11","439.84891068613075","0","true"
"12","436.67841428285345","0","true"
"13","436.6784142828537","0","true"
"14","430.2493665328717","0","true"
"15","430.2493665328717","0","true"
"16","425.80374557854583","0","true"
"17","425.80374557854554","0","true"
"18","422.3864279664294","0","true"
"19","422.3864279664291","0","true"
"20","414.17661622016686","0","true"
"21","414.17661622016635","0","true"
"22","407.91614643498013","0","true"
"23","407.9161464349798","0","true"
"24","402.60564870607425","0","true"
"25","402.6056487060744","0","true"
"26","395.0641620076714","0","true"
"27","395.06416200767103","0","true"
"28","390.23526498327385","0","true"
"29","390.23526498327413","0","true"
"30","383.33929666184054","0","true"
"31","383.3392966618409","0","true"
"32","377.59956345403606","0","true"
"33","377.59956345403594","0","true"
"34","370.6066183479965","0","true"
"35","370.6066183479969","0","true"
"36","363.63834162670054","0","true"
"37","363.6383416267006","0","true"
"38","357.20155883952896","0","true"
"39","357.20155883952873","0","true"
"40","350.9473010266631","0","true"
"41","350.9473010266631","0","true"
"42","343.75276530701143","0","true"
"43","343.75276530701177","0","true"
"44","338.0583584736954","0","true"
"45","338.05835847369525","0","true"
"46","332.809895840538","0","true"
"47","332.8098958405381","0","true"
"48","328.30472731312176","0","true"
"49","328.30472731312204","0","true"
"50","322.9793130940667","0","true"
"51","322.9793130940666","0","true"
"52","317.2049983744873","0","true"
"53","317.2049983744868","0","true"
"54","313.7568543492586","0","true"
"55","313.7568543492585","0","true"
"56","309.47298986507855","0","true"
"57","309.47298986507883","0","true"
"58","305.7688663015421","0","true"
"59","305.76886630154235","0","true"
"60","301.5911444868954","0","true"
"61","301.5911444868954","0","true"
"62","296.9476397867706","0","true"
"63","296.94763978677065","0","true"
"64","292.5604691995351","0","true"
"65","292.5604691995353","0","true"
"66","288.4146642340376","0","true"
"67","288.41466423403784","0","true"
"68","284.8138959351192","0","true"
"69","284.81389593511875","0","true"
"70","281.363460412819","0","true"
"71","281.3634604128189","0","true"
"72","277.7976937532199","0","true"
"73","277.7976937532199","0","true"
"74","274.5038158012263","0","true"
"75","274.50381580122655","0","true"
"76","270.8393488846541","0","true"
"77","270.8393488846541","0","true"
"78","268.4335096853428","0","true"
"79","268.433509685343","0","true"
"80","265.5658794367318","0","true"
"81","265.56587943673196","0","true"
"82","263.27780970962556","0","true"
"83","263.27780970962556","0","true"
"84","260.7763076673192","0","true"
"85","260.776307667319","0","true"
"86","258.8151807194213","0","true"
"87","258.8151807194219","0","true"
"88","256.7419003838934","0","true"
"89","256.74190038389355","0","true"
"90","255.32352883952043","0","true"
"91","255.32352883952072","0","true"
"92","253.66415292626536","0","true"
"93","253.6641529262654","0","true"
"94","251.86727475421748","0","true"
"95","251.86727475421736","0","true"
"96","250.14081239746943","0","true"
"97","250.14081239746926","0","true"
"98","248.61998050931078","0","true"
"99","248.6199805093108","0","true"
"100","247.27006829990987","0","true"
"101","247.27006829991015","0","true"
"102","246.02820143094826","0","true"
"103","246.02820143094812","0","true"
"104","244.41255792882203","0","true"
"105","244.41255792882197","0","true"
"106","243.53283935265233","0","true"
"107","243.53283935265225","0","true"
"108","242.434086331432","0","true"
"109","242.43408633143196","0","true"
"110","241.90951692488315","0","true"
"111","241.90951692488306","0","true"
"112","241.27734768745844","0","true"
"113","241.2773476874585","0","true"
"114","240.45965796997382","0","true"
"115","240.45965796997373","0","true"
"116","239.59162274043186","0","true"
"117","239.59162274043186","0","true"
"118","239.26766775274382","0","true"
"119","239.26766775274393","0","true"
"120","238.7222168251379","0","true"
"121","238.72221682513776","0","true"
"122","238.00799468121244","0","true"
"123","238.00799468121255","0","true"
"124","237.57660245647878","0","true"
"125","237.57660245647895","0","true"
"126","236.944753420242","0","true"
"127","236.94475342024168","0","true"
"128","237.08936021703013","0","true"
"129","237.0893602170302","0","true"
"130","236.15563179243176","0","true"
"131","236.15563179243173","0","true"
"132","235.90492467451776","0","true"
"133","235.90492467451776","0","true"
"134","235.80744978190225","0","true"
"135","235.80744978190216","0","true"
"136","235.82124244094854","0","true"
"137","235.8212424409486","0","true"
"138","235.9032541731395","0","true"
"139","235.90325417313954","0","true"
"140","235.70396215621184","0","true"
"141","235.70396215621193","0","true"
"142","235.5762547069055","0","true"
"143","235.57625470690547","0","true"
"144","235.22820556965408","0","true"
"145","235.22820556965425","0","true"
"146","235.41785352126882","0","true"
"147","235.41785352126885","0","true"
"148","235.3870029474051","0","true"
"149","235.38700294740514","0","true"
"150","235.31285518577016","0","true"
"151","235.3128551857702","0","true"
"152","235.62230998976946","0","true"
"153","235.62230998976955","0","true"
"154","235.33070545119023","0","true"
"155","235.33070545119003","0","true"
"156","235.27511821330287","0","true"
"157","235.27511821330296","0","true"
"158","234.92665449004048","0","true"
"159","234.9266544900405","0","true"
"160","235.27370787765656","0","true"
"161","235.27370787765673","0","true"
"162","235.42255941237437","0","true"
"163","235.42255941237437","0","true"
"164","235.45631046453366","0","true"
"165","235.45631046453363","0","true"
"166","235.51173059363921","0","true"
"167","235.51173059363953","0","true"
"168","235.36911839782482","0","true"
"169","235.36911839782474","0","true"
"170","235.3708507807425","0","true"
"171","235.3708507807421","0","true"
"172","235.28279149021392","0","true"
"173","235.28279149021407","0","true"
"174","235.0031100224501","0","true"
"175","235.00311002244993","0","true"
"176","234.99674359955293","0","true"
"177","234.99674359955293","0","true"
"178","235.18468915255022","0","true"
"179","235.18468915255008","0","true"
"180","235.60280514112281","0","true"
"181","235.60280514112262","0","true"
"182","235.5494232799143","0","true"
"183","235.54942327991415","0","true"
"184","235.43825049648683","0","true"
"185","235.43825049648686","0","true"
